table_name,version,file_size,decompression_time_ms,n_repetition_full_scan,random_access_ms,n_repetition_random_access
Arade,autoschema_snappy_v2,1822950,88.73,10,5.45,10
Arade,autoschema_zstd_v2,1725132,89.92,10,5.53,10
Bimbo,autoschema_snappy_v2,684049,76.28,10,4.84,10
Bimbo,autoschema_zstd_v2,462097,75.84,10,5.06,10
CMSprovider,autoschema_snappy_v2,4305507,273.28,10,25.24,10
CMSprovider,autoschema_zstd_v2,3290114,273.7,10,25.12,10
CityMaxCapita,autoschema_snappy_v2,10306872,344.06,10,45.5,10
CityMaxCapita,autoschema_zstd_v2,7052691,341.95,10,44.06,10
CommonGovernment,autoschema_snappy_v2,2158015,333.2,10,23.03,10
CommonGovernment,autoschema_zstd_v2,1415870,336.71,10,24.16,10
Corporations,autoschema_snappy_v2,2703281,151.41,10,16.37,10
Corporations,autoschema_zstd_v2,1899423,150.29,10,15.81,10
Eixo,autoschema_snappy_v2,5667079,979.04,10,43.35,10
Eixo,autoschema_zstd_v2,3752422,980.33,10,46.0,10
Euro2016,autoschema_snappy_v2,4929871,129.42,10,19.73,10
Euro2016,autoschema_zstd_v2,3239835,126.1,10,18.81,10
Food,autoschema_snappy_v2,576280,61.6,10,4.72,10
Food,autoschema_zstd_v2,454117,61.08,10,4.93,10
Generico,autoschema_snappy_v2,1351135,232.6,10,18.27,10
Generico,autoschema_zstd_v2,681204,230.54,10,18.21,10
HashTags,autoschema_snappy_v2,25306276,944.46,10,136.58,10
HashTags,autoschema_zstd_v2,15874914,934.89,10,138.25,10
Hatred,autoschema_snappy_v2,10301339,340.34,10,42.9,10
Hatred,autoschema_zstd_v2,6972176,339.24,10,42.32,10
IGlocations1,autoschema_snappy_v2,2052544,132.72,10,9.15,10
IGlocations1,autoschema_zstd_v2,1759206,133.16,10,9.97,10
MLB,autoschema_snappy_v2,3851352,328.96,10,26.78,10
MLB,autoschema_zstd_v2,2301321,329.09,10,26.63,10
MedPayment1,autoschema_snappy_v2,4951439,259.62,10,24.81,10
MedPayment1,autoschema_zstd_v2,3987628,259.08,10,25.17,10
Medicare1,autoschema_snappy_v2,4443405,218.5,10,14.9,10
Medicare1,autoschema_zstd_v2,3756809,216.79,10,16.54,10
Motos,autoschema_snappy_v2,2896526,464.87,10,32.19,10
Motos,autoschema_zstd_v2,1408147,464.44,10,32.08,10
MulheresMil,autoschema_snappy_v2,5728861,988.66,10,44.21,10
MulheresMil,autoschema_zstd_v2,3780173,993.73,10,45.21,10
NYC,autoschema_snappy_v2,3452194,426.69,10,29.53,10
NYC,autoschema_zstd_v2,2669472,426.7,10,30.89,10
PanCreactomy1,autoschema_snappy_v2,4843931,288.07,10,28.23,10
PanCreactomy1,autoschema_zstd_v2,3595898,289.32,10,30.07,10
Physicians,autoschema_snappy_v2,4967326,253.5,10,24.85,10
Physicians,autoschema_zstd_v2,3988805,253.4,10,25.28,10
Provider,autoschema_snappy_v2,5051303,244.11,10,23.47,10
Provider,autoschema_zstd_v2,4151751,244.46,10,24.69,10
RealEstate1,autoschema_snappy_v2,6205435,304.86,10,25.0,10
RealEstate1,autoschema_zstd_v2,4148228,305.29,10,27.47,10
Redfin1,autoschema_snappy_v2,9665942,279.6,10,25.12,10
Redfin1,autoschema_zstd_v2,8651559,279.97,10,27.45,10
Rentabilidad,autoschema_snappy_v2,16095790,1032.15,10,57.42,10
Rentabilidad,autoschema_zstd_v2,14152492,1034.39,10,60.58,10
Romance,autoschema_snappy_v2,9590997,186.66,10,42.85,10
Romance,autoschema_zstd_v2,6165745,186.92,10,41.83,10
SalariesFrance,autoschema_snappy_v2,9187524,518.56,10,32.11,10
SalariesFrance,autoschema_zstd_v2,8183155,523.26,10,34.27,10
TableroSistemaPenal,autoschema_snappy_v2,400888,339.51,10,6.87,10
TableroSistemaPenal,autoschema_zstd_v2,270806,340.96,10,7.15,10
Taxpayer,autoschema_snappy_v2,5076725,237.3,10,22.57,10
Taxpayer,autoschema_zstd_v2,4155973,237.43,10,24.45,10
Telco,autoschema_snappy_v2,39946822,1265.77,10,152.59,10
Telco,autoschema_zstd_v2,27770493,1277.42,10,158.52,10
TrainsUK1,autoschema_snappy_v2,5406468,304.37,10,29.23,10
TrainsUK1,autoschema_zstd_v2,3795351,305.47,10,31.64,10
TrainsUK2,autoschema_snappy_v2,5227444,372.34,10,31.23,10
TrainsUK2,autoschema_zstd_v2,3098932,369.56,10,30.56,10
USCensus,autoschema_snappy_v2,6254720,1047.19,10,109.97,10
USCensus,autoschema_zstd_v2,4073512,1043.5,10,113.88,10
Uberlandia,autoschema_snappy_v2,5705190,983.09,10,45.56,10
Uberlandia,autoschema_zstd_v2,3762942,982.27,10,45.08,10
Wins,autoschema_snappy_v2,23311029,1637.41,10,144.78,10
Wins,autoschema_zstd_v2,16148104,1697.34,10,147.48,10
YaleLanguages,autoschema_snappy_v2,1328435,316.79,10,10.98,10
YaleLanguages,autoschema_zstd_v2,997712,319.46,10,11.77,10
