table_name,version,file_size,decompression_time_ms,n_repetition_full_scan,random_access_ms,n_repetition_random_access
Arade,autoschema_snappy_v2,1820072,30.09,10,1.82,10
Arade,autoschema_zstd_v2,1725132,29.69,10,2.11,10
Bimbo,autoschema_snappy_v2,679739,33.33,10,1.65,10
Bimbo,autoschema_zstd_v2,462097,33.57,10,2.04,10
CMSprovider,autoschema_snappy_v2,4295775,103.06,10,9.44,10
CMSprovider,autoschema_zstd_v2,3290114,108.89,10,11.83,10
CityMaxCapita,autoschema_snappy_v2,10204921,135.12,10,16.52,10
CityMaxCapita,autoschema_zstd_v2,7052691,140.74,10,20.94,10
CommonGovernment,autoschema_snappy_v2,2153095,136.13,10,9.6,10
CommonGovernment,autoschema_zstd_v2,1415870,142.47,10,12.67,10
Corporations,autoschema_snappy_v2,2682009,60.98,10,6.99,10
Corporations,autoschema_zstd_v2,1899423,65.88,10,10.13,10
Eixo,autoschema_snappy_v2,5572696,412.59,10,17.18,10
Eixo,autoschema_zstd_v2,3752422,396.37,10,21.25,10
Euro2016,autoschema_snappy_v2,4878772,45.7,10,5.45,10
Euro2016,autoschema_zstd_v2,3239835,49.98,10,8.24,10
Food,autoschema_snappy_v2,575020,22.22,10,1.61,10
Food,autoschema_zstd_v2,454117,22.87,10,2.34,10
Generico,autoschema_snappy_v2,1346228,96.43,10,8.21,10
Generico,autoschema_zstd_v2,681204,97.61,10,10.11,10
HashTags,autoschema_snappy_v2,25104410,413.12,10,50.15,10
HashTags,autoschema_zstd_v2,15874914,437.82,10,69.36,10
Hatred,autoschema_snappy_v2,10210568,136.81,10,16.82,10
Hatred,autoschema_zstd_v2,6972176,140.97,10,21.68,10
IGlocations1,autoschema_snappy_v2,2049226,57.41,10,4.52,10
IGlocations1,autoschema_zstd_v2,1759206,59.03,10,4.82,10
MLB,autoschema_snappy_v2,3813033,151.73,10,12.23,10
MLB,autoschema_zstd_v2,2301321,151.22,10,16.74,10
MedPayment1,autoschema_snappy_v2,4942472,104.54,10,11.44,10
MedPayment1,autoschema_zstd_v2,3987628,108.83,10,14.89,10
Medicare1,autoschema_snappy_v2,4436297,92.41,10,9.71,10
Medicare1,autoschema_zstd_v2,3756809,90.47,10,11.13,10
Motos,autoschema_snappy_v2,2884610,196.57,10,12.21,10
Motos,autoschema_zstd_v2,1408147,199.83,10,13.91,10
MulheresMil,autoschema_snappy_v2,5636067,392.34,10,18.9,10
MulheresMil,autoschema_zstd_v2,3780173,411.0,10,24.64,10
NYC,autoschema_snappy_v2,3448708,185.38,10,13.54,10
NYC,autoschema_zstd_v2,2669472,191.65,10,14.73,10
PanCreactomy1,autoschema_snappy_v2,4832616,132.38,10,16.86,10
PanCreactomy1,autoschema_zstd_v2,3595898,128.39,10,18.09,10
Physicians,autoschema_snappy_v2,4958178,110.36,10,12.65,10
Physicians,autoschema_zstd_v2,3988805,123.27,10,16.68,10
Provider,autoschema_snappy_v2,5041885,111.58,10,11.88,10
Provider,autoschema_zstd_v2,4151751,111.19,10,16.94,10
RealEstate1,autoschema_snappy_v2,6170939,126.53,10,11.25,10
RealEstate1,autoschema_zstd_v2,4148228,131.47,10,17.07,10
Redfin1,autoschema_snappy_v2,9665292,116.15,10,11.37,10
Redfin1,autoschema_zstd_v2,8651559,123.12,10,18.32,10
Rentabilidad,autoschema_snappy_v2,16044268,437.07,10,25.07,10
Rentabilidad,autoschema_zstd_v2,14152492,430.5,10,32.25,10
Romance,autoschema_snappy_v2,9462773,78.58,10,15.97,10
Romance,autoschema_zstd_v2,6165745,89.8,10,21.65,10
SalariesFrance,autoschema_snappy_v2,9178919,217.14,10,16.81,10
SalariesFrance,autoschema_zstd_v2,8183155,225.89,10,24.1,10
TableroSistemaPenal,autoschema_snappy_v2,398600,129.41,10,3.35,10
TableroSistemaPenal,autoschema_zstd_v2,270806,130.75,10,3.8,10
Taxpayer,autoschema_snappy_v2,5065950,101.0,10,10.25,10
Taxpayer,autoschema_zstd_v2,4155973,103.26,10,14.16,10
Telco,autoschema_snappy_v2,39825334,522.0,10,70.15,10
Telco,autoschema_zstd_v2,27770493,549.92,10,91.49,10
TrainsUK1,autoschema_snappy_v2,5377770,134.68,10,12.84,10
TrainsUK1,autoschema_zstd_v2,3795351,138.93,10,18.05,10
TrainsUK2,autoschema_snappy_v2,5175608,157.78,10,13.15,10
TrainsUK2,autoschema_zstd_v2,3098932,157.1,10,20.51,10
USCensus,autoschema_snappy_v2,6222794,598.79,10,67.9,10
USCensus,autoschema_zstd_v2,4073512,627.99,10,72.39,10
Uberlandia,autoschema_snappy_v2,5611942,405.09,10,20.6,10
Uberlandia,autoschema_zstd_v2,3762942,407.74,10,23.7,10
Wins,autoschema_snappy_v2,23118004,808.69,10,67.07,10
Wins,autoschema_zstd_v2,16148104,821.13,10,78.46,10
YaleLanguages,autoschema_snappy_v2,1321509,132.26,10,5.64,10
YaleLanguages,autoschema_zstd_v2,997712,135.14,10,7.95,10
