table_name,0.0.2,autoschema_snappy_v2,autoschema_zstd_v2,btrblocks,duckdb_native_12
Arade,946344.0,1820072.0,1725132.0,1106852.0,1154252.8
Bimbo,326273.0,679739.0,462097.0,320789.0,595012.27
CMSprovider,2998164.0,4295775.0,3290114.0,3331092.0,4876697.6
CityMaxCapita,8944872.0,10204921.0,7052691.0,10345233.0,12391492.27
CommonGovernment,2332071.0,2153095.0,1415870.0,2395312.0,4736887.47
Corporations,2514357.0,2682009.0,1899423.0,4739543.0,3950455.47
Eixo,4722833.0,5572696.0,3752422.0,5423877.0,7725329.07
Euro2016,5346923.0,4878772.0,3239835.0,6460921.0,5855368.53
Food,501881.0,575020.0,454117.0,411055.0,402773.33
Generico,897832.0,1346228.0,681204.0,824704.0,1643588.27
HashTags,16617335.0,25104410.0,15874914.0,25798221.0,33730013.87
Hatred,9045609.0,10210568.0,6972176.0,10962281.0,12758493.87
IGlocations1,1658065.0,2049226.0,1759206.0,1579416.0,2010589.87
MLB,2209776.0,3813033.0,2301321.0,2269361.0,4055313.07
MedPayment1,3729488.0,4942472.0,3987628.0,4244292.0,6239846.4
Medicare1,3438320.0,4436297.0,3756809.0,3693258.0,4352409.6
Motos,1842041.0,2884610.0,1408147.0,1685237.0,4597077.33
MulheresMil,4781141.0,5636067.0,3780173.0,5440100.0,8022425.6
NYC,3881843.0,3448708.0,2669472.0,4882924.0,6449561.6
PanCreactomy1,3404088.0,4832616.0,3595898.0,3639937.0,5418461.87
Physicians,3705048.0,4958178.0,3988805.0,4279715.0,6065083.73
Provider,3688568.0,5041885.0,4151751.0,4164264.0,6065083.73
RealEstate1,3784832.0,6170939.0,4148228.0,4662712.0,5278651.73
Redfin1,8562021.0,9665292.0,8651559.0,9710821.0,13265305.6
Rentabilidad,13097935.0,16044268.0,14152492.0,15447440.0,19102378.67
Romance,8555868.0,9462773.0,6165745.0,10196957.0,12828398.93
SalariesFrance,8859831.0,9178919.0,8183155.0,10646158.0,15240123.73
TableroSistemaPenal,514566.0,398600.0,270806.0,458307.0,1591159.47
Taxpayer,3663284.0,5065950.0,4155973.0,4366887.0,6152465.07
Telco,18033812.0,39825334.0,27770493.0,18577898.0,28714325.33
TrainsUK1,2751502.0,5377770.0,3795351.0,2882829.0,6432085.33
TrainsUK2,3103523.0,5175608.0,3098932.0,3579676.0,5750510.93
USCensus,3610316.0,6222794.0,4073512.0,3821247.0,8931191.47
Uberlandia,4809465.0,5611942.0,3762942.0,5391945.0,7935044.27
Wins,12375029.0,23118004.0,16148104.0,14000572.0,21758771.2
YaleLanguages,1154981.0,1321509.0,997712.0,1447989.0,2569830.4
Total,180409837.0,254206099.0,183594209.0,213189822.0,298646459.75
